NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;BA;Bahia;01;26232;UFBA;1353;13530011;Guilherme Menezes;PT;12.364.1073.6373.0156;100000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Apoio à Infra-Estrutura do Ensino de Graduação da Faculdade de Farmácia - Estado da Bahia;100000;100000;33447,57;0;0
M. da Educação;BA;Bahia;01;26232;UFBA;1384;13840012;Zezéu Ribeiro;PT;12.364.1073.6373.0158;140000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Implantação do Centro de Estudos Avançados em Cultura - Estado da Bahia;140000;140000;129642;0;0
M. da Educação;BA;Bahia;01;26232;UFBA;1708;17080006;Aroldo Cedraz;PFL;12.364.1073.6373.0029;200000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado da Bahia;2995008;3262684;1235470,99;905895,07;730378,26
M. da Educação;BA;Bahia;01;26232;UFBA;3262;32620004;José Rocha;PFL;12.364.1073.6373.0162;100000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Faculdade de Medicina - Estado da Bahia;100000;100000;0;0;0
M. da Educação;BA;Bahia;01;26232;UFBA;3459;34590018;Luiz Alberto;PT;12.364.1073.6373.0138;50000;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Construção e Implantação do Posto de Aquicultura (PAqui) da Escola de Agronomia - Estado da Bahia;50000;50000;0;0;0
M. da Educação;BA;Bahia;01;26298;FNDE;3355;33550005;Severiano Alves;PDT;12.361.1376.0E01.0054;150000;BA;Apoio ao Desenvolvimento do Ensino Fundamental - Estado da Bahia;150000;150000;150000;0;0
M. da Educação;BA;Bahia;01;26301;CEFET - BA;3477;34770018;Jutahy Junior;PSDB;12.363.1062.6301.0002;80000;BA;Acervo Bibliográfico para as Instituições da Rede Federal de Educação Profissional - Acervo Bibliográfico para a UNED de Barreiras - BA;80000;80000;0;0;0
M. da Educação;BA;Bahia;08;26101;M. da Educação;7106;71060001;Bancada da Bahia;S/PARTIDO;12.364.1073.0048.0294;4267600;BA;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Estado da Bahia;4477600;4477600;0;0;0
M. da Educação;BA;Bahia;08;26232;UFBA;7106;71060008;Bancada da Bahia;S/PARTIDO;12.364.1073.6373.0122;5085400;BA;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Modernização, Equipamento e Recuperação da Infra-Estrutura Física dos Campi da UFBA - Estado da Bahia;5085400;5085400;0;0;0
M. da Educação;BA;Barreiras;01;26301;CEFET - BA;1715;17150015;João Almeida;PSDB;12.363.1062.6374.0002;60000;BA;Modernização e Recuperação de Infra-Estrutura Física de Instituições Federais de Educação Profissional - UNED Barreiras-BA;60000;60000;0;0;0
